frames_to_process,split_no,flops,total_processing_time,single_frame_time,left_output_size,avg_consec_inference_gap,total_left_model_time,total_right_model_time,Model
10,161,0.0424,8.549956,0.8549956,68992,0.5950304444,2.634588,4.58764,DenseNet121
10,168,0.0427,8.567301,0.8567301,75264,0.6094426667,2.522684,0,DenseNet121
10,168,0.0427,8.568737,0.8568737,75264,0.6094211111,2.462625,4.513517,DenseNet121
10,175,0.0431,8.921029,0.8921029,81536,0.6420252222,2.557888,4.455516,DenseNet121
10,175,0.0431,8.906896,0.8906896,81536,0.6419865556,2.49956,0,DenseNet121
10,182,0.0434,8.76259,0.876259,87808,0.6078278889,2.688017,4.302575,DenseNet121
10,182,0.0434,8.763467,0.8763467,87808,0.6078624444,2.635095,0,DenseNet121
10,189,0.0438,8.622946,0.8622946,94080,0.5960016667,2.649086,0,DenseNet121
10,189,0.0438,8.623181,0.8623181,94080,0.5961095556,2.662603,4.26406,DenseNet121
10,196,0.0442,9.010929,0.9010929,100352,0.6001991111,2.949041,0,DenseNet121
10,196,0.0442,9.016303,0.9016303,100352,0.6001683333,2.947471,4.016145,DenseNet121
10,203,0.0446,9.341347,0.9341347,106624,0.6544494444,2.844567,0,DenseNet121
10,203,0.0446,9.342307,0.9342307,106624,0.6544091111,2.843788,3.931048,DenseNet121
10,210,0.045,8.978958,0.8978958,112896,0.612102,2.869466,3.839538,DenseNet121
10,210,0.045,8.978367,0.8978367,112896,0.6121334444,2.85047,0,DenseNet121
10,217,0.0454,9.646471,0.9646471,119168,0.6547324444,3.102568,0,DenseNet121
10,217,0.0454,9.648701,0.9648701,119168,0.6547585556,3.077651,3.715185,DenseNet121
10,1,0,63.877272,6.3877272,691200,4.882678556,0.419862,0,EfficientNetV2L
10,1,0,63.87906,6.387906,691200,2.355910778,0.394091,0,EfficientNetV2L
10,2,0.001,93.348476,9.3348476,1843200,7.682069,0.433168,0,EfficientNetV2L
10,2,0.001,93.350162,9.3350162,1843200,7.683011333,0.464185,49.439611,EfficientNetV2L
10,3,0.001,88.360113,8.8360113,1843200,8.714705667,0.48468,0,EfficientNetV2L
10,3,0.001,88.361282,8.8361282,1843200,8.714671444,0.463009,49.115241,EfficientNetV2L
10,4,0.001,87.197806,8.7197806,1843200,8.706603222,0.524228,47.233305,EfficientNetV2L
10,4,0.001,87.198409,8.7198409,1843200,8.706771556,0.5385,0,EfficientNetV2L
10,8,0.0116,87.959208,8.7959208,1843200,8.728377444,0.810331,47.518899,EfficientNetV2L
10,8,0.0116,87.960769,8.7960769,1843200,8.728354111,0.810812,0,EfficientNetV2L
10,13,0.0222,94.962033,9.4962033,1843200,9.396443333,1.090241,0,EfficientNetV2L
10,13,0.0222,94.962823,9.4962823,1843200,9.396527,1.082452,46.64259,EfficientNetV2L
10,18,0.0328,88.646546,8.8646546,1843200,8.748307556,1.366897,0,EfficientNetV2L
10,18,0.0328,88.647448,8.8647448,1843200,8.748476889,1.374856,48.590054,EfficientNetV2L
10,23,0.0435,89.017471,8.9017471,1843200,8.767988889,1.744365,0,EfficientNetV2L
10,23,0.0435,89.010794,8.9010794,1843200,8.768032,1.731233,46.469908,EfficientNetV2L
10,24,0.0541,96.287822,9.6287822,1843200,9.533356222,1.720181,0,EfficientNetV2L
10,24,0.0541,96.288148,9.6288148,1843200,9.533437778,1.752665,45.920199,EfficientNetV2L
